Datetime,Actual LSTM,Predicted LSTM,Actual Transformer,Predicted Transformer
2024-04-03 08:00:00+00:00,16.0,21.478472,16.0,23.450373
2024-04-03 09:00:00+00:00,10.999999999999996,18.270187,10.999999999999996,15.952196
2024-04-03 10:00:00+00:00,9.0,16.22109,9.0,14.586048
2024-04-03 11:00:00+00:00,5.0,15.490604,5.0,14.703537
2024-04-03 12:00:00+00:00,7.0,13.388109,7.0,13.135401
2024-04-03 13:00:00+00:00,47.2,14.03331,47.2,12.743101
2024-04-03 14:00:00+00:00,16.0,40.526283,16.0,31.327137
2024-04-03 15:00:00+00:00,56.0,28.048483,56.0,23.975334
2024-04-03 16:00:00+00:00,19.0,49.879635,19.0,53.384987
2024-04-03 17:00:00+00:00,19.0,26.670547,19.0,22.864225
2024-04-03 18:00:00+00:00,38.0,20.773832,38.0,20.188065
2024-04-03 19:00:00+00:00,52.0,36.29576,52.0,36.243458
2024-04-03 20:00:00+00:00,46.0,49.2771,46.0,50.61811
2024-04-03 21:00:00+00:00,42.0,45.236874,42.0,45.99026
2024-04-03 22:00:00+00:00,78.0,40.991554,78.0,41.936752
2024-04-03 23:00:00+00:00,62.0,65.01673,62.0,70.701744
2024-04-04 00:00:00+00:00,68.0,57.595753,68.0,59.627083
2024-04-04 01:00:00+00:00,54.0,60.26681,54.0,64.9833
2024-04-04 02:00:00+00:00,70.0,52.366997,70.0,55.412434
2024-04-04 03:00:00+00:00,34.0,64.10069,34.0,65.2886
2024-04-04 04:00:00+00:00,15.0,32.560467,15.0,32.216896
2024-04-04 05:00:00+00:00,25.0,19.129583,25.0,17.459475
2024-04-04 06:00:00+00:00,26.0,24.609737,26.0,21.2291
2024-04-04 07:00:00+00:00,21.0,25.54944,21.0,21.686691
2024-04-04 08:00:00+00:00,20.0,21.9369,20.0,18.095343
2024-04-04 09:00:00+00:00,16.999999999999996,20.145775,16.999999999999996,17.031406
2024-04-04 10:00:00+00:00,7.0,18.08936,7.0,16.752699
2024-04-04 11:00:00+00:00,13.999999999999996,13.919275,13.999999999999996,13.870802
2024-04-04 12:00:00+00:00,15.0,17.723774,15.0,16.456656
2024-04-04 13:00:00+00:00,12.0,21.155052,12.0,19.46943
2024-04-04 14:00:00+00:00,18.000000000000004,21.978786,18.000000000000004,18.454842
2024-04-04 15:00:00+00:00,26.0,24.662342,26.0,19.349361
2024-04-04 16:00:00+00:00,31.0,29.511217,31.0,24.909977
2024-04-04 17:00:00+00:00,18.000000000000004,30.562563,18.000000000000004,26.865437
2024-04-04 18:00:00+00:00,15.0,17.378492,15.0,15.527872
2024-04-04 19:00:00+00:00,10.999999999999996,13.665943,10.999999999999996,11.003227
2024-04-04 20:00:00+00:00,12.0,11.13525,12.0,10.556608
2024-04-04 21:00:00+00:00,9.0,12.843695,9.0,10.834221
2024-04-04 22:00:00+00:00,5.0,12.245569,5.0,9.873341
2024-04-04 23:00:00+00:00,7.0,10.907614,7.0,11.04752
2024-04-05 00:00:00+00:00,8.0,10.669254,8.0,10.909683
